[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9233246,SUNBELT SPIRIT,Great American Lines,Fairfield-Maxwell Services Ltd,Fairfield-Maxwell Services Ltd,MAI,17950,212.08200073242188,32.259998321533203,33.950000762939453,Vehicles Carrier
9136967,VIKING PRINCESS,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Gram & Co AS,SNG,3995,117.0,20.0,6.1500000953674316,Vehicles Carrier
9542283,AZALEA ACE,Glory Tiger Navigation SA,Seiwa Navigation Corp Ltd,Mitsui OSK Lines Ltd,LIB,15154,180.0,30.0,33.520000457763672,Vehicles Carrier
9243473,CARIBBEAN HIGHWAY,Belocean Shipping SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,17866,179.47500610351563,32.200000762939453,32.290000915527344,Vehicles Carrier
9182356,COMET ACE,Bright Ocean Maritime SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,14283,174.97999572753906,29.200000762939453,28.600000381469727,Vehicles Carrier
9363948,LAVENDER ACE,Primavera Montana SA,Shunzan Kaiun KK,Shunzan Kaiun KK,PAN,17262,199.99000549316406,32.259998321533203,34.259998321533203,Vehicles Carrier
9293650,LIBERTY ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,19106,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9672404,GRAVITY HIGHWAY,Gravity Maritime Ltd,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,21000,199.94999694824219,32.259998321533203,35.0,Vehicles Carrier
9336062,MORNING CELESTA,S291 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,21055,199.97999572753906,32.259998321533203,32.639999389648438,Vehicles Carrier
9669029,MORNING POST,2610 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,22675,199.89999389648438,35.400001525878906,35.490001678466797,Vehicles Carrier
9267924,ONYX ARROW,Onyx Maritime Ltd,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,21087,199.92999267578125,32.240001678466797,32.729999542236328,Vehicles Carrier
8808082,PARANI BARITO,K Line Indonesia,K Line Indonesia,K Line Indonesia,IDA,4912,134.86000061035156,20.0,8.9200000762939453,Vehicles Carrier
9325427,ROCKIES HIGHWAY,Eternity Maritime Shipping SA,Fukunaga Kaiun KK,Kawasaki Kisen Kaisha Ltd,PAN,12828,183.0,30.200000762939453,28.799999237060547,Vehicles Carrier
8606056,GMT ASTRO,POS Line SA,Doriko Ltd,Doriko Ltd,PAN,16141,190.50999450683594,32.259998321533203,13.350000381469727,Vehicles Carrier
9294343,SHANGHAI HIGHWAY,Belocean Shipping SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,15413,179.99000549316406,32.200000762939453,32.209999084472656,Vehicles Carrier
9476757,RUBY ACE,FGL Maritime Panama SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,18724,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9338723,MORNING CAROLINE,La Darien Navegacion SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,22717,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9177430,PERSEUS LEADER,Cypress Maritime Panama SA,Shoei Kisen Kaisha Ltd,NYK Line,PAN,21503,199.89999389648438,32.200000762939453,34.520000457763672,Vehicles Carrier
9355214,RHEA LEADER,FC Lead Leasing Ltd,NYK Line,NYK Line,JPN,21428,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9355202,ARTEMIS LEADER,Freesia Shipholding SA,NYK Line,NYK Line,PAN,21424,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9498597,SELENE LEADER,Granville Shipholding SA,Hachiuma Steamship Co Ltd,NYK Line,JPN,18082,199.99000549316406,32.259998321533203,35.799999237060547,Vehicles Carrier
9544918,CATTLEYA ACE,White Bear Maritime Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,16384,199.99000549316406,32.259998321533203,34.259998321533203,Vehicles Carrier
9336050,MORNING CONDUCTOR,EKC International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,21091,199.97999572753906,32.259998321533203,32.639999389648438,Vehicles Carrier
8708907,MORNING MELODY,JEK Navigation Panama SA,Excel Marine Co Ltd,EUKOR Car Carriers Inc,PAN,13162,180.0,32.209999084472656,32.419998168945313,Vehicles Carrier
9289908,MORNING MIRACLE,Lombard Corporate December 3,Eastern Pacific Shipping UK,EUKOR Car Carriers Inc,LIB,12600,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
9325178,CSAV RIO AYSEN,Lombard Corporate December 3,Eastern Pacific Shipping UK,CSAV,LIB,12322,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
9502427,SENTOSA LEADER,Ocean Sentosa,United Ocean Ship Mgmt Pte Ltd,NYK Line,SNG,17143,179.89999389648438,32.200000762939453,34.799999237060547,Vehicles Carrier
9311866,TAIPAN,Taipan Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,21021,199.89999389648438,32.259998321533203,32.729999542236328,Vehicles Carrier
9039573,SERASI V,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,IDA,3624,128.91999816894531,20.0,6.380000114440918,Vehicles Carrier
9561954,DIONE LEADER,Nadeshiko Ship Holding SA,NYK Line,NYK Line,PAN,21111,199.94999694824219,32.259998321533203,34.409999847412109,Vehicles Carrier
9308807,CSAV RIO GRANDE,Lombard Corporate December 3,Zodiac Maritime Ltd,CSAV,LIB,12315,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
8506749,DR ACE,Dr Line SA,Doriko Ltd,Doriko Ltd,PAN,15546,190.05000305175781,32.259998321533203,13.75,Vehicles Carrier
9326093,TRANS FUTURE 7,Norwich Shipping Corp,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,LIB,14906,199.99000549316406,32.259998321533203,36.209999084472656,Vehicles Carrier
9481051,VIKING CORAL,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Kawasaki Kisen Kaisha Ltd,SNG,12588,167.23199462890625,28.0,30.090000152587891,Vehicles Carrier
9206011,EUROPEAN HIGHWAY,Canopus Maritime Co Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,15075,179.99000549316406,32.200000762939453,32.200000762939453,Vehicles Carrier
9303223,GRAND DIAMOND,Ocean Transit Carrier SA,Cido Shipping HK Co Ltd,EUKOR Car Carriers Inc,PAN,18058,199.89999389648438,32.259998321533203,35.799999237060547,Vehicles Carrier
9660798,HOEGH AMSTERDAM,Amsterdam Maritime Ltd,Stamco Ship Management Co Ltd,Hoegh Autoliners AS,BAH,21000,199.96400451660156,32.259998321533203,35.0,Vehicles Carrier
9382396,HOEGH OSLO,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,17252,179.89999389648438,32.200000762939453,34.799999237060547,Vehicles Carrier
9277826,AMBER ARROW,Amber Maritime Ltd,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,21120,199.91000366210938,32.25,32.639999389648438,Vehicles Carrier
9171280,HOEGH TRADER,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,27100,228.77000427246094,32.259998321533203,32.590000152587891,Vehicles Carrier
9531741,ASTERIA LEADER,Perses Maritima Ltd,Hachiuma Steamship Co Ltd,NYK Line,JPN,21349,199.94000244140625,32.259998321533203,34.259998321533203,Vehicles Carrier
9536818,GAIA LEADER,FGL Shipping Pte Ltd,NYK Line,NYK Line,SNG,21286,199.94000244140625,32.259998321533203,34.409999847412109,Vehicles Carrier
9397999,AMETHYST ACE,Polar Express SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,18760,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9427940,PAGLIA,Paglia GmbH & Co KG,Laeisz Reederei,Laeisz Reederei,GIB,11369,182.91000366210938,31.5,31.799999237060547,Vehicles Carrier
9273909,ANDROMEDA LEADER,ANZ Bank New Zealand Ltd,NYK Line,NYK Line,PAN,21443,199.94000244140625,32.259998321533203,34.799999237060547,Vehicles Carrier
9610444,PRIME ACE,Prime Maritime SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,18304,199.94999694824219,32.200000762939453,34.200000762939453,Vehicles Carrier
8905426,HEIJIN,Trident Shipholding SA-Panama,NYK Line,NYK Line,PAN,14366,180.0,32.200000762939453,32.669998168945313,Vehicles Carrier
9454723,COSCO TENGFEI,COSCOL HK Investment,COSCOL,COSCOL,PAN,14707,182.80000305175781,32.200000762939453,34.330001831054688,Vehicles Carrier
8613188,STRAITS VOYAGER,Straits Auto Logistics Sdn Bhd,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,MAL,13491,182.0,30.010000228881836,29.350000381469727,Vehicles Carrier
8204951,TAMPA,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,NIS,44013,262.010009765625,32.259998321533203,21.010000228881836,Vehicles Carrier
9229403,NEW CENTURY 2,Norwich Shipping Corp,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,LIB,16837,199.99000549316406,32.259998321533203,34.520000457763672,Vehicles Carrier
9318474,HOEGH BANGKOK,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,16632,199.89999389648438,32.259998321533203,32.439998626708984,Vehicles Carrier
9368900,HOEGH SYDNEY,Chijin Shipping SA,Union Marine Mgmt Serv Pte Ltd,Hoegh Autoliners AS,PAN,17311,179.89999389648438,32.200000762939453,34.799999237060547,Vehicles Carrier
8505355,OCEAN TANGO,Duwon Shipping Co Ltd,Duwon Shipping Co Ltd,Duwon Shipping Co Ltd,KRS,2736,82.120002746582031,16.010000228881836,9.1999998092651367,Vehicles Carrier
9166704,HOEGH MASAN,Hoegh Autoliners Shpg Pte Ltd,Hoegh Autoliners AS,Hoegh Autoliners AS,SNG,12490,179.47500610351563,32.200000762939453,29.600000381469727,Vehicles Carrier
9285641,MORNING CROWN,Crown Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,21052,199.94000244140625,32.259998321533203,32.639999389648438,Vehicles Carrier
8508905,INNOVATOR,Carim Maritime SA,Yokohama Marine & Merchant,Yokohama Marine & Merchant,PAN,12084,172.5,29.399999618530273,28.25,Vehicles Carrier
9021423,JINGU,Mandheling/Nippon/Mitsubishi,NYK Line,NYK Line,PAN,17216,195.5,28.799999237060547,29.899999618530273,Vehicles Carrier
9340776,POSITIVE LEADER,Oceanic Trader SA,Janfield Shipping Ltd,NYK Line,PAN,15023,180.0,30.0,33.520000457763672,Vehicles Carrier
9702429,GLOVIS SYMPHONY,GL NV11 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,20056,199.97000122070313,35.400001525878906,33.0,Vehicles Carrier
