[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth]
9289910,MORNING MIDAS,Lombard Corporate December 3,Zodiac Maritime Ltd,EUKOR Car Carriers Inc,GBI,"12,249.00",182.8,31.5,31.8
8709157,NOCC CORAL,NOCC Coral AS,Norwegian Car Carriers AS,Neptune Lines Shipping,MAI,"12,706.00",183.9,30.6,30.23
9213806,SIRIUS LEADER,SSC Sirius Leader Pte Ltd,SSC Ship Management Pte Ltd,NYK Line,SNG,"16,451.00",180,32.26,34.6
8708244,SOLAR WING,Wing Car Carrier SA,MOLSHIP,Mitsui OSK Lines Ltd,LIB,"13,224.00",187.03,32.21,27.82
9427938,PAGANINO,Paganino,Laeisz Reederei,Laeisz Reederei,GEU,"11,373.00",183.01,31.5,31.8
9338876,SALVIA ACE,Polar Express SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,"15,013.00",186.03,28.2,29.43
9681431,MORNING PRIDE,2629 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,"22,675.00",199.9,35.4,35.49
8204975,TAIKO,Wilhelmsen Lines Shipowning AS,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,NIS,"43,986.00",262.08,32.26,21.01
9392341,VENUS LEADER,Encantada Maritima SA,NYK Line,NYK Line,PAN,"15,031.00",186.03,28.2,29.43
9395630,VIOLET ACE,Violet Ray Ltd,Ray Car Carriers Ltd,Mitsui OSK Lines Ltd,BAH,"13,370.00",189.3,32.26,33.54
9051820,CAR STAR,Atwood Shipping Inc,XT Management Ltd,Zim Integrated Shipping,LIB,"17,189.00",195.54,28.8,29.9
9432919,OSAKA CAR,Kosted Shipping Inc,Eastern Pacific Shipping Pte,Eastern Pacific Shipping Pte,SNG,"12,321.00",182.8,31.5,31.8
9325790,DREAM DIVA,Dynamic Spirit Shipping SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"15,068.00",186,28.2,29.43
9397987,AQUAMARINE ACE,Polar Express SA,MOLSHIP,Mitsui OSK Lines Ltd,CAY,"18,772.00",199.99,32.26,34.52
9325764,EASTERN HIGHWAY,Bulkstar Enterprise Co Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"12,991.00",188.03,28.2,27.41
9363950,CLOVER ACE,Golden Helm Shipping Co SA,Osaka Fleet Co Ltd,Mitsui OSK Lines Ltd,LIB,"17,280.00",199.99,32.26,34.26
9293595,EUPHONY ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"18,944.00",199.95,32.2,34.2
9087764,ASIAN LEADER,Kilimanjaro Maritima SA,NYK Line,NYK Line,PAN,"7,014.00",146.6,21,15.05
9293662,FREEDOM ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"19,093.00",199.99,32.26,34.52
9676876,PISCES LEADER,Emerald Sea Carriers SA,NYK Line,NYK Line,PAN,"18,781.00",199.98,35.8,38
9229398,NEW CENTURY 1,Feng Li Maritime Corp,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,PAN,"16,837.00",199.99,32.26,34.52
9675573,GALVESTON HIGHWAY,Nelson Shipping Corp,Sanasia Management Inc,Kawasaki Kisen Kaisha Ltd,PAN,"18,549.00",199.97,32.26,34.8
9210438,PLATINUM RAY,Stamco Ship Management Co Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,400.00",199.98,32.26,32.64
9284738,PYXIS LEADER,Eternal Sky Marine SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,"21,466.00",199.94,32.26,34.8
9055486,RYUJIN,Sea Green Shipping SA,Kitaura Kaiun KK,Kitaura Kaiun KK,PAN,"14,080.00",180,32.2,32.67
9505900,VENUS SPIRIT,Secure Shipping Co Ltd,Nissan Motor Car Carrier,Nissan Motor Car Carrier,LIB,"13,951.00",183,30.2,28.8
8202367,AEGEAN BREEZE,Wallenius Lines Singapore,Wallenius Marine Singapore Pte,UECC,SNG,"12,527.00",164,28,24.35
9158276,AQUARIUS LEADER,NYK Line,NYK Line,NYK Line,JPN,"22,815.00",199.93,32.26,34.55
9476745,HELIOS LEADER,Ship V/VI/VII/VIII,NYK Line,NYK Line,JPN,"18,692.00",200,32.26,34.52
8716162,SERASI III,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,IDA,"2,618.00",115,20,6.58
9327748,TARIFA,Tarifa Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,120.00",199.95,32.25,32.73
9590589,GLOVIS CENTURY,GL NV1 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,PAN,"20,895.00",199.98,32.26,32.64
8602579,TRINIDAD,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,Wallenius Wilhelmsen Logistics,NIS,"15,528.00",190,32.23,13.92
9295842,HOEGH BERLIN,Mare Berlin Schiffahrts GmbH,Hoegh Fleet Services AS,Hoegh Autoliners AS,BAH,"27,176.00",228.74,32.26,32.59
9185047,UNITED SPIRIT,Secure Shipping Co Ltd,Nissan Motor Car Carrier,Nissan Motor Car Carrier,LIB,"14,067.00",174.98,29.2,28.6
