ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1979-12-01,135810.49921628454,-101129.55880399328,47522.10497697615,123651.89734958956,147321.79758489536,-160129.9279801563,-178756.98979243657,-141486.58110006154,-160129.9279801563,-178756.98979243657,-141486.58110006154,0.0,0.0,0.0,-24319.42876387175
1980-01-01,136099.13091152848,-100188.84663067189,53463.69344592913,124136.73856632574,147552.23044232876,-159761.54787779972,-176407.01441922583,-142159.8371103161,-159761.54787779972,-176407.01441922583,-142159.8371103161,0.0,0.0,0.0,-23662.416966271237
1980-02-01,136387.7626067724,-96933.67608723104,54537.22169226891,124419.06982795263,147765.817411219,-159465.70756042292,-173595.88528365068,-145261.47875866352,-159465.70756042292,-173595.88528365068,-145261.47875866352,0.0,0.0,0.0,-23077.944953650527
1980-03-01,136657.77290232314,-89006.9930567138,61961.771659242695,124718.53989691507,147956.22294836125,-151570.36551235834,-165545.45393084857,-136627.22326858592,-151570.36551235834,-165545.45393084857,-136627.22326858592,0.0,0.0,0.0,-14912.592610035208
1980-04-01,136946.40459756707,-77813.46454684978,70958.94330686193,125132.00715405818,148161.04089138,-137203.87144332664,-154425.99805463504,-120296.45909410999,-137203.87144332664,-154425.99805463504,-120296.45909410999,0.0,0.0,0.0,-257.46684575956897
1980-05-01,137225.72559296442,-4191.756306940566,151646.7641137574,125609.2757338575,148379.49201078,-66871.84120548119,-83474.71775837871,-50481.25614730627,-66871.84120548119,-83474.71775837871,-50481.25614730627,0.0,0.0,0.0,70353.88438748322
1980-06-01,137506.69140393447,210058.22491258077,362072.207985142,126198.46995009572,148540.99751680318,146803.81604419305,127549.42494223831,165961.79704153238,146803.81604419305,127549.42494223831,165961.79704153238,0.0,0.0,0.0,284310.5074481275
1980-07-01,137778.59380164742,491696.75228944165,646263.7245915992,126774.41482432792,148584.06255270133,427570.1843556767,409481.5845864461,445446.82030741667,427570.1843556767,409481.5845864461,445446.82030741667,0.0,0.0,0.0,565348.7781573241
1980-08-01,138059.55961261748,456338.9074989578,605333.4568662022,127212.6895769301,148466.67385051018,394298.5407384479,376673.2467664401,413308.07963917404,394298.5407384479,376673.2467664401,413308.07963917404,0.0,0.0,0.0,532358.1003510654
1980-09-01,138340.52542358753,178726.8089738671,327931.1587835924,127529.27849580647,148454.8083540649,116394.26946118625,98193.41709367746,134447.24603358144,116394.26946118625,98193.41709367746,134447.24603358144,0.0,0.0,0.0,254734.7948847738
1980-10-01,138612.42782130052,-33396.68169889451,114601.53754728558,128019.38874213127,148547.11373803247,-102176.76731821065,-117066.22623597803,-86388.39834978832,-102176.76731821065,-117066.22623597803,-86388.39834978832,0.0,0.0,0.0,36435.660503089865
1980-11-01,138893.39363227057,-95918.2037155217,54128.59114102418,128503.23308038095,148789.83195055378,-156845.4971855339,-174429.21365040322,-138705.34279985496,-156845.4971855339,-174429.21365040322,-138705.34279985496,0.0,0.0,0.0,-17952.103553263325
1980-12-01,139165.2960299835,-105286.6028836471,45423.67015871533,128922.95565439046,148896.9744763505,-165167.51268698138,-180834.20441531844,-148562.58740809883,-165167.51268698138,-180834.20441531844,-148562.58740809883,0.0,0.0,0.0,-26002.216656997887
1981-01-01,139446.26184095358,-101159.90404569663,47860.350263789675,129370.21729022967,149260.3699952502,-161026.05736685838,-178231.35989988007,-142815.60891229036,-161026.05736685838,-178231.35989988007,-142815.60891229036,0.0,0.0,0.0,-21579.795525904803
1981-02-01,139727.22765192363,-93147.75484205406,54024.19599422626,129840.97910986248,149388.676151302,-159878.18839663925,-181592.78227859145,-138731.71140881893,-159878.18839663925,-181592.78227859145,-138731.71140881893,0.0,0.0,0.0,-20150.960744715616
1981-03-01,139981.0032231224,-84188.03378293233,61873.931512960306,130167.48672120851,149531.1852871311,-153680.90974455004,-165567.06184529,-141782.17329530598,-153680.90974455004,-165567.06184529,-141782.17329530598,0.0,0.0,0.0,-13699.906521427649
1981-04-01,140261.96903409244,-76529.55648379045,74735.54941997716,130571.07996189958,149850.14787035462,-140342.79546171342,-153810.82172803435,-127242.81745235932,-140342.79546171342,-153810.82172803435,-127242.81745235932,0.0,0.0,0.0,-80.82642762098112
1981-05-01,140533.87143180543,-7129.673193607577,146396.7247757752,130908.28161384564,149893.85860666606,-67667.4704662176,-79962.9306114326,-54461.657335385054,-67667.4704662176,-79962.9306114326,-54461.657335385054,0.0,0.0,0.0,72866.40096558783
1981-06-01,140814.83724277548,209134.3897689672,367504.1376602616,131266.35272552748,150211.3716957817,148760.6073339708,135077.66855710215,161680.73238496203,148760.6073339708,135077.66855710215,161680.73238496203,0.0,0.0,0.0,289575.4445767463
1981-07-01,141086.73964048843,493688.29965236125,642848.686508753,131703.2953876426,150435.8381306518,432116.64031507605,420142.62590143085,444680.3389085699,432116.64031507605,420142.62590143085,444680.3389085699,0.0,0.0,0.0,573203.3799555645
1981-08-01,141367.70545145846,458750.8502695254,603357.4352900748,132074.87548343244,150696.6752147719,387148.1422413853,374459.5015831014,399882.58386947826,387148.1422413853,374459.5015831014,399882.58386947826,0.0,0.0,0.0,528515.8476928438
1981-09-01,141648.67126242854,185682.570607946,339994.7160146527,132350.92733922854,150884.44241449918,117935.97487821219,105112.06032322663,130817.45577120819,117935.97487821219,105112.06032322663,130817.45577120819,0.0,0.0,0.0,259584.64614064072
1981-10-01,141920.57366014147,-39633.94636884513,113258.98486363288,132637.71308863207,151085.68173245405,-102255.14692969488,-113777.44063637391,-91031.6958399808,-102255.14692969488,-113777.44063637391,-91031.6958399808,0.0,0.0,0.0,39665.42673044659
1981-11-01,142179.03303266462,-79200.02208219178,67323.7038530986,132894.1218400977,151229.62426150322,-154001.9989306368,-165971.03050834325,-141011.59655848867,-154001.9989306368,-165971.03050834325,-141011.59655848867,0.0,0.0,0.0,-11822.965897972172
1981-12-01,142429.15500607414,-96307.19901391299,51590.71619290184,133244.6139963688,151462.58402379623,-163458.0555197983,-175514.130698681,-151387.21312491386,-163458.0555197983,-175514.130698681,-151387.21312491386,0.0,0.0,0.0,-21028.900513724162
1982-01-01,142687.6143785973,-92462.58790518148,54448.14296598023,133537.86174889034,151641.87213666053,-160550.6756028365,-173816.03263710256,-147299.20700202673,-160550.6756028365,-173816.03263710256,-147299.20700202673,0.0,0.0,0.0,-17863.06122423921
1982-02-01,142946.07375112042,-91972.66984483376,53585.29536434701,133822.76216639494,151812.5824878277,-159678.82143079725,-174466.25666123326,-145133.5118703665,-159678.82143079725,-174466.25666123326,-145133.5118703665,0.0,0.0,0.0,-16732.74767967683
1982-03-01,143179.52092630262,-84627.94853280956,58686.16904677015,134244.87570313114,152098.0166287441,-155818.23655697645,-170125.46066600393,-141822.6366749695,-155818.23655697645,-170125.46066600393,-141822.6366749695,0.0,0.0,0.0,-12638.715630673832
1982-04-01,143437.9802988258,-70839.48988516293,74903.07541666523,134647.8955197385,152388.23208190742,-143413.65001430237,-156964.23626545692,-130798.98163814997,-143413.65001430237,-156964.23626545692,-130798.98163814997,0.0,0.0,0.0,24.330284523428418
1982-05-01,143688.1022722353,3088.4986331455007,151614.00914617293,134950.69348228662,152491.9776339663,-68320.0173154757,-82436.19391874681,-53732.77886441411,-68320.0173154757,-82436.19391874681,-53732.77886441411,0.0,0.0,0.0,75368.08495675959
1982-06-01,143946.56164475845,221643.1407760004,367774.13203555375,135413.18826506077,152851.81470860617,150786.23277399017,138355.92813819862,163250.87210077804,150786.23277399017,138355.92813819862,163250.87210077804,0.0,0.0,0.0,294732.7944187486
1982-07-01,144196.68361816797,504936.6138179852,654230.8932634413,135744.423439693,153057.9260686253,436430.36813929456,423402.32332177303,449462.0247760379,436430.36813929456,423402.32332177303,449462.0247760379,0.0,0.0,0.0,580627.0517574626
1982-08-01,144455.14299069112,452963.0662720886,597024.31392683,136011.9349260508,153164.10061406146,379859.40070622007,367308.3955814709,391992.00555062183,379859.40070622007,367308.3955814709,391992.00555062183,0.0,0.0,0.0,524314.5436969112
1982-09-01,144713.60236321425,191313.58205309277,340514.4369843224,136230.0542724304,153519.81153870086,119565.96476168028,108354.05019763342,131471.75197839612,119565.96476168028,108354.05019763342,131471.75197839612,0.0,0.0,0.0,264279.56712489453
1982-10-01,144963.72433662377,-26253.66676588193,122532.76984703785,136577.74631280848,153756.94025866472,-102222.69664584589,-115542.42192709442,-88578.70075641022,-102222.69664584589,-115542.42192709442,-88578.70075641022,0.0,0.0,0.0,42741.027690777875
1982-11-01,145222.18370914692,-75538.97258754284,69425.87947118907,136644.16043463539,153988.02526551712,-151092.8986970514,-162734.7352240589,-138660.44166743365,-151092.8986970514,-162734.7352240589,-138660.44166743365,0.0,0.0,0.0,-5870.714987904474
1982-12-01,145472.3056825564,-88816.5452829845,56790.28657680004,136755.62281809264,154139.8436364469,-161777.82041074784,-176054.9533824764,-148374.94572468876,-161777.82041074784,-176054.9533824764,-148374.94572468876,0.0,0.0,0.0,-16305.514728191425
1983-01-01,145730.7650550796,-84469.88570726468,64052.30862029812,137017.5536789095,154472.37436763532,-160128.76479583816,-173068.24357396775,-147572.51871067617,-160128.76479583816,-173068.24357396775,-147572.51871067617,0.0,0.0,0.0,-14397.999740758562
1983-02-01,145989.22442760275,-90314.7644452497,57183.824109760506,137286.86414417415,154859.71014368854,-159541.3720460798,-171005.986814954,-148643.11219657186,-159541.3720460798,-171005.986814954,-148643.11219657186,0.0,0.0,0.0,-13552.147618477058
1983-03-01,146183.5084143365,-89633.67004418057,70066.44603716089,137517.56748206873,155074.85084498438,-157978.67893684292,-178200.53213846387,-138415.1132000653,-157978.67893684292,-178200.53213846387,-138415.1132000653,0.0,0.0,0.0,-11795.170522506407
1983-04-01,146398.60854250606,-75520.41835187757,73795.40904423555,137791.5597034551,155148.57048084977,-146412.50199525378,-162995.14337581026,-129091.77634899614,-146412.50199525378,-162995.14337581026,-129091.77634899614,0.0,0.0,0.0,-13.89345274772495
1983-05-01,146606.76995686366,-984.1375016195183,152799.2539206174,138068.8734424974,155228.5367293353,-68830.94139687277,-88965.67558143748,-49456.06790293661,-68830.94139687277,-88965.67558143748,-49456.06790293661,0.0,0.0,0.0,77775.82855999088
1983-06-01,146821.8700850332,224590.8235662734,375611.6842647187,138236.79552302603,155419.21422501106,152873.6820886277,136466.82727254965,168468.29443204086,152873.6820886277,136466.82727254965,168468.29443204086,0.0,0.0,0.0,299695.55217366095
1983-07-01,147030.0314993908,516014.9949088192,663219.7793442926,138391.53412468583,155674.07214514303,440506.16226136306,422083.5111593473,457568.5067018967,440506.16226136306,422083.5111593473,457568.5067018967,0.0,0.0,0.0,587536.1937607538
1983-08-01,147245.13162756033,446607.3493682561,596968.7035608739,138759.41300939152,155874.58319994598,372441.3284033176,354631.16374933656,389230.84965735005,372441.3284033176,354631.16374933656,389230.84965735005,0.0,0.0,0.0,519686.46003087796
1983-09-01,147460.23175572988,194234.32802926717,343310.2348004179,139075.30385561314,156073.18737018987,121287.96666869782,105531.80495369952,137220.89004233768,121287.96666869782,105531.80495369952,137220.89004233768,0.0,0.0,0.0,268748.1984244277
1983-10-01,147668.39317008748,-28564.829231758045,120949.61317271771,139374.7226504696,156258.8138263322,-102078.61841494078,-122310.78842698842,-83123.7851042852,-102078.61841494078,-122310.78842698842,-83123.7851042852,0.0,0.0,0.0,45589.774755146704
1983-11-01,147883.49329825703,-75116.52462805326,74386.26180146694,139543.93177291265,156571.44808018996,-148121.7564974025,-166187.44327893402,-130808.49185960962,-148121.7564974025,-166187.44327893402,-130808.49185960962,0.0,0.0,0.0,-238.26319914546912
1983-12-01,148091.65471261463,-86086.1643033682,65599.94666412067,139679.59692058765,156796.36299363148,-160129.92798015277,-178756.989792434,-141486.5811000479,-160129.92798015277,-178756.989792434,-141486.5811000479,0.0,0.0,0.0,-12038.273267538141
1984-01-01,148306.75484078418,-87056.75389084348,62360.58001890802,139819.0810056481,157032.6580217072,-159761.547877801,-176407.0144192254,-142159.83711031865,-159761.547877801,-176407.0144192254,-142159.83711031865,0.0,0.0,0.0,-11454.793037016818
1984-02-01,148521.8549689537,-81806.43003123006,63368.758982284846,140194.12722965973,157237.7449097234,-159465.70756041422,-173595.88528366477,-145261.4787586149,-159465.70756041422,-173595.88528366477,-145261.4787586149,0.0,0.0,0.0,-10943.852591460512
1984-03-01,148723.0776694994,-77242.36912904646,70378.19088113758,140432.7030552216,157364.80444479914,-151570.36551235482,-165545.45393083527,-136627.22326858086,-151570.36551235482,-165545.45393083527,-136627.22326858086,0.0,0.0,0.0,-2847.2878428554104
1984-04-01,148938.17779766893,-58339.548404467394,88276.76348499165,140742.958588259,157559.6452094966,-137203.87144332906,-154425.99805464217,-120296.45909411536,-137203.87144332906,-154425.99805464217,-120296.45909411536,0.0,0.0,0.0,11734.306354339875
1984-05-01,149146.33921202653,3978.963618140719,160109.76341368377,140893.0044917338,157727.542648531,-66871.84120548317,-83474.7177583828,-50481.25614731182,-66871.84120548317,-83474.7177583828,-50481.25614731182,0.0,0.0,0.0,82274.49800654336
1984-06-01,149361.43934019608,216512.79351663665,369753.8823373794,141137.5389160663,158005.12857921535,146803.81604418793,127549.42494223351,165961.79704152112,146803.81604418793,127549.42494223351,165961.79704152112,0.0,0.0,0.0,296165.255384384
1984-07-01,149569.60075455368,501386.77159727935,647946.4229266963,141280.99403746874,158264.52845999066,427570.18435568095,409481.5845864639,445446.82030742266,427570.18435568095,409481.5845864639,445446.82030742266,0.0,0.0,0.0,577139.7851102346
